team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
CLE,7/19/2019,1,608070,Jose Ramirez,5,N,
CLE,7/19/2019,1,547379,Roberto Perez,6,N,
CLE,7/19/2019,1,543401,Jason Kipnis,7,N,
CLE,7/19/2019,1,641343,Jake Bauers,8,N,
CLE,7/19/2019,1,571980,Tyler Naquin,9,N,
CLE,7/19/2019,1,669456,Shane Bieber,SP,N,
CHW,7/19/2019,1,544725,Leury Garcia,1,N,
CHW,7/19/2019,1,660162,Yoan Moncada,2,N,
CHW,7/19/2019,1,547989,Jose Abreu,3,N,
CHW,7/19/2019,1,445055,Jon Jay,4,N,
CHW,7/19/2019,1,602922,Jose Rondon,5,N,
CHW,7/19/2019,1,456078,Welington Castillo,6,N,
CHW,7/19/2019,1,570560,Yolmer Sanchez,7,N,
CHW,7/19/2019,1,641477,Ryan Cordell,8,N,
CHW,7/19/2019,1,605508,Charlie Tilson,9,N,
CHW,7/19/2019,1,625643,Reynaldo Lopez,SP,N,
TB,7/19/2019,1,640457,Austin Meadows,1,N,
TB,7/19/2019,1,595281,Kevin Kiermaier,2,N,
TB,7/19/2019,1,502054,Thomas Pham,3,N,
TB,7/19/2019,1,650490,Yandy Diaz,4,N,
TB,7/19/2019,1,621563,Joseph Wendle,5,N,
TB,7/19/2019,1,541645,Avisail Garcia,6,N,
TB,7/19/2019,1,642715,Willy Adames,7,N,
TB,7/19/2019,1,670712,Mike Brosseau,8,N,
TB,7/19/2019,1,518595,Travis d'Arnaud,9,N,
TB,7/19/2019,1,656713,Brendan McKay,SP,N,
TOR,7/19/2019,1,519299,Eric Sogard,1,N,
TOR,7/19/2019,1,520471,Freddy Galvis,2,N,
TOR,7/19/2019,1,666971,Lourdes Gurriel,3,N,
TOR,7/19/2019,1,624415,Cavan Biggio,4,N,
TOR,7/19/2019,1,665489,Vladimir Guerrero,5,N,
TOR,7/19/2019,1,475253,Justin Smoak,6,N,
TOR,7/19/2019,1,545341,Randal Grichuk,7,N,
TOR,7/19/2019,1,643376,Danny Jansen,8,N,
TOR,7/19/2019,1,606192,Teoscar Hernandez,9,N,
TOR,7/19/2019,1,573186,Marcus Stroman,SP,N,
DET,7/19/2019,1,622682,Victor Reyes,1,N,
DET,7/19/2019,1,605612,Harold Castro,2,N,
DET,7/19/2019,1,408234,Miguel Cabrera,3,N,
DET,7/19/2019,1,592206,Nick Castellanos,4,N,
DET,7/19/2019,1,600869,Jeimer Candelario,5,N,
DET,7/19/2019,1,621514,Christin Stewart,6,N,
DET,7/19/2019,1,592348,Niko Goodrum,7,N,
DET,7/19/2019,1,543308,John Hicks,8,N,
DET,7/19/2019,1,474568,Jordy Mercer,9,N,
DET,7/19/2019,1,519455,Jordan Zimmermann,SP,N,
WAS,7/19/2019,1,607208,Trea Turner,1,N,
WAS,7/19/2019,1,594809,Adam Eaton,2,N,
WAS,7/19/2019,1,543685,Anthony Rendon,3,N,
WAS,7/19/2019,1,665742,Juan Soto,4,N,
WAS,7/19/2019,1,435062,Howie Kendrick,5,N,
WAS,7/19/2019,1,571431,Matt Adams,6,N,
WAS,7/19/2019,1,435559,Kurt Suzuki,7,N,
WAS,7/19/2019,1,572821,Brian Dozier,8,N,
